trys	classifer	names	names2	Rank	accuracy	precision	recall	F1	PR	F1_score
try_2	KNN	Log_1735	KNNLog_1735	M04_Log_1735	0.98958314	0.961268493	0.898744171	0.927108328	0.863895026	0.975220337
try_3	KNN	Log_1735	KNNLog_1735	M04_Log_1735	0.98958314	0.961268493	0.898744171	0.927108328	0.863895026	0.975220337
try_4	KNN	Log_1735	KNNLog_1735	M04_Log_1735	0.98958314	0.961268493	0.898744171	0.927108328	0.863895026	0.975220337
try_0	KNN	Log_172	KNNLog_172	M05_Log_172	0.988100262	0.946356853	0.912004271	0.926326087	0.863391705	0.96677817
try_1	KNN	Log_172	KNNLog_172	M05_Log_172	0.988100262	0.946356853	0.912004271	0.926326087	0.863391705	0.96677817
try_2	KNN	Log_172	KNNLog_172	M05_Log_172	0.988100262	0.946356853	0.912004271	0.926326087	0.863391705	0.96677817
try_3	KNN	Log_172	KNNLog_172	M05_Log_172	0.988100262	0.946356853	0.912004271	0.926326087	0.863391705	0.96677817
try_4	KNN	Log_172	KNNLog_172	M05_Log_172	0.988100262	0.946356853	0.912004271	0.926326087	0.863391705	0.96677817
try_0	KNN	Log_1725	KNNLog_1725	M06_Log_1725	0.989596067	0.954142509	0.899446554	0.923587636	0.859073637	0.971545954
try_1	KNN	Log_1725	KNNLog_1725	M06_Log_1725	0.989596067	0.954142509	0.899446554	0.923587636	0.859073637	0.971545954
try_2	KNN	Log_1725	KNNLog_1725	M06_Log_1725	0.989596067	0.954142509	0.899446554	0.923587636	0.859073637	0.971545954
try_3	KNN	Log_1725	KNNLog_1725	M06_Log_1725	0.989596067	0.954142509	0.899446554	0.923587636	0.859073637	0.971545954
try_4	KNN	Log_1725	KNNLog_1725	M06_Log_1725	0.989596067	0.954142509	0.899446554	0.923587636	0.859073637	0.971545954
try_0	KNN	Log_17235	KNNLog_17235	M07_Log_17235	0.988648737	0.97320285	0.877299544	0.920329293	0.853659597	0.98086499
